name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
European Robin	https://martinfrancois.github.io/bird-images/o01QCsv7zfIQixhgYB5z.jpg	The European robin (Erithacus rubecula) is a small insectivorous passerine bird. The term robin is also applied to some birds in other families with red or orange breasts. These include the American robin (Turdus migratorius ), a thrush, and the Australasian robins of the family Petroicidae.	130-201 mln	19	0	16-22 g	12.5-14 cm	20-22 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Partial Migrant	14-16 days	Increasing	Least concern (LC)	12-14 days
European Roller	https://martinfrancois.github.io/bird-images/ixsawhzbeZh3Oh0KmcGN.jpg	The European roller (Coracias garrulus ) is the only member of the roller family of birds to breed in Europe. Its overall range extends into the Middle East, Central Asia and Morocco.	200-600 thou	10	0	27-160 g	29-32 cm	52-58 cm	Europe, Asia, Africa	Carnivore	Migrating	6.5-7 weeks	Decreasing	Least concern (LC)	17-19 days
European serin	https://martinfrancois.github.io/bird-images/2560px-european-serin-28serinus-serinus29-cyprus.jpg	The European serin, or simply the serin (Serinus serinus ), is the smallest European species of the family of finches (Fringillidae) and is closely related to the Atlantic canary. Its diet consists mainly of a combination of buds and seeds.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
European Turtle Dove	https://martinfrancois.github.io/bird-images/trtola-comn-30-de-junio-de-2011-003jpg.jpg	The European turtle dove (Streptopelia turtur ) is a member of the bird family Columbidae, the doves and pigeons. It breeds over a wide area of the south western Palearctic including north Africa but migrates to northern sub-Saharan Africa to winter.	12.8-47.6 M	10	95	100-156 g	26-28 cm	47-53 cm	Europe, Asia, Africa	Herbivore,  Granivore,  Frugivore	Migrating	-	Decreasing	Vulnerable (VU)	2 weeks
Ferruginous duck	https://martinfrancois.github.io/bird-images/2560px-fuligule-nyroca-e29980-28aythya-nyroca292c-parc-du-rouge-cloc3aetre2c-bruxelles-flickr-frankvassen.jpg	The ferruginous duck, also ferruginous pochard, common white-eye or white-eyed pochard (Aythya nyroca ) is a medium-sized diving duck from Eurosiberia. The scientific name is derived from Greek  aithuia an unidentified seabird mentioned by authors including Hesychius and Aristotle, and nyrok, the Russian name for a duck.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Fieldfare	https://martinfrancois.github.io/bird-images/1620px-fieldfare-lodzpolandjs02jpg.jpg	The fieldfare (Turdus pilaris ) is a member of the thrush family Turdidae. These birds often nest in small colonies, and during migration often form large flocks, often in the company of Redwings.	71-143 mln	10	0	80-140 g	25 cm	39-42 cm	Europe, Asia, Africa	Omnivore	Migrating	14-16 days	Stable	Least concern (LC)	13-14 days
Gadwall	https://martinfrancois.github.io/bird-images/gadwall-28anas-strepera29-285066368001829.jpg	The gadwall (Mareca strepera ) is a common and widespread dabbling duck in the family Anatidae.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Garden warbler	https://martinfrancois.github.io/bird-images/1280px-garden-warbler-28sylvia-borin29-at-the-unesco-biosphere-reserve-swabian-alb.jpg	The garden warbler (Sylvia borin ) is a common and widespread small bird that breeds in most of Europe and in the Palearctic to western Siberia. It is a plain, long-winged and long-tailed typical warbler with brown upperparts and dull white underparts; the sexes are similar and juveniles resemble the adults. Its two subspecies differ only slightly and interbreed where their ranges overlap. Due to its lack of distinguishing features, this species can be confused with a number of other unstreaked warblers. The garden warbler's rich melodic song is similar to that of the blackcap, its closest relative, which competes with it for territory when nesting in the same woodland.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Garganey	https://martinfrancois.github.io/bird-images/anas-querquedula2c-hong-kong-1.jpg	The garganey (Spatula querquedula ) is a small dabbling duck. It breeds in much of Europe and across the Palearctic, but is strictly migratory, with the entire population moving to southern Africa, India (in particular Santragachi), Bangladesh (in the natural reservoirs of Sylhet district) and Australasia during the winter of the Northern hemisphere, where large flocks can occur. This species was first described by Carl Linnaeus in his landmark 1758 10th edition of Systema Naturae. Like other small ducks such as the Eurasian teal, this species rises easily from the water with a fast twisting wader-like flight.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Glossy Ibis	https://martinfrancois.github.io/bird-images/RTulCKBWxiQ0mbyIbrwH.jpg	The glossy ibis (Plegadis falcinellus ) is a water bird in the order Pelecaniformes and the ibis and spoonbill family Threskiornithidae. The scientific name derives from Ancient Greek plegados and Latin, falcis, both meaning ""sickle"" and referring to the distinctive shape of the bill.	230,000-2.2M	26	0	485-970 g	48-66 cm	80-105 cm	North America, South America, Europe, Asia, Africa, Oceania	Carnivore,  Insectivores,  Piscivores	Migrating	6-7 weeks	Decreasing	Least concern (LC)	-
Goldcrest	https://martinfrancois.github.io/bird-images/1631px-zolotomushka-zhovtochuba-regulus-regulusjpg.jpg	The goldcrest (Regulus regulus ) is a very small passerine bird in the kinglet family. Its colourful golden crest feathers, as well as being called the ""king of the birds"" in European folklore, gives rise to its English and scientific names. The scientific name, R. regulus, means king or knight. Several subspecies are recognised across the very large distribution range that includes much of the Palearctic and the islands of Macaronesia and Iceland. Birds from the north and east of its breeding range migrate to winter further south.	98-165 Mln	2	0	4.5-7 g	8.5-9.5 cm	13.5-15.5 cm	Asia, Europe, Africa	Insectivores,  Carnivore	Partial Migrant	17-22 days	Decreasing	Least concern (LC)	16 days
Golden Eagle	https://martinfrancois.github.io/bird-images/I7xRlSRZDvqATRYorJ9n.jpg	The Golden eagle (Aquila chrysaetos) is a bird of prey living in the Northern Hemisphere. It is the most widely distributed species of eagle. Like all eagles, it belongs to the family Accipitridae. They are one of the best-known birds of prey in the Northern Hemisphere. Golden eagles use their agility and speed combined with powerful feet and large, sharp talons to hunt a variety of prey. Once widespread across the Holarctic, it has disappeared from many areas that are heavily populated by humans. Despite being extirpated from or uncommon in some of its former range, the species is still widespread, being present in sizeable stretches of Eurasia, North America, and parts of North Africa. For centuries, the Golden eagle has been one of the most highly regarded birds used in falconry. Because of its hunting prowess, it is regarded with great mystic reverence in some ancient, tribal cultures.	85-160 Thou	46	128	3.6-5 kg	66-102 cm	1.8-2.4 m	Asia, Europe, Africa, North America	Carnivore	Partial Migrant	102-180 days	Stable	Least concern (LC)	41-45 days
Golden Oriole	https://martinfrancois.github.io/bird-images/golden-oriole-oriolus-oriolus-6.jpg	The Eurasian golden oriole (Oriolus oriolus ) also called Golden oriole, is the only member of the Old World oriole family of passerine birds breeding in Northern Hemisphere temperate regions. It is a summer migrant in Europe and Palearctic and spends the winter season in central and southern Africa.	17.4-32 mln	10	42	65-67 g	24-25 cm	44-47 cm	Europe, Asia, Africa	Carnivore,  Insectivores,  Herbivore,  Frugivore	Migrating	16-20 days	Stable	Least concern (LC)	-
Great Black-Backed Gull	https://martinfrancois.github.io/bird-images/2560px-great-black-backed-gull-28larus-marinus29.jpg	The Great black-backed gull (Larus marinus ) is the largest member of the gull family. Described by the Cornell Lab of Ornithology as ""the king of the Atlantic waterfront"", it is a very aggressive hunter, pirate, and scavenger.	500,000-1M	27	0	0.7-2 kg	64-79 cm	1.5-1.7 m	Europe, North America, Africa	Scavenger,  Carnivore	Migrating	6 months	Unknown	Least concern (LC)	28 days
Great Cormorant	https://martinfrancois.github.io/bird-images/1200px-7i6a1764cormoranolasciugaturajpg.jpg	The great cormorant (Phalacrocorax carbo ), known as the black shag in New Zealand and formerly also known as the great black cormorant across the Northern Hemisphere, the black cormorant in Australia, and the large cormorant in India, is a widespread member of the cormorant family of seabirds. The genus name is Latinised Ancient Greek, from ________ (phalakros, ""bald"") and _____ (korax, ""raven""), and carbo is Latin for ""charcoal"".	1.4-2.1 Mln	23	93	2600-3700 g	70-102 cm	121-160 cm	Asia, Europe, Africa, Oceania, North America	Carnivore,  Piscivores	Partial Migrant	100 days	Increasing	Least concern (LC)	27-31 days
Great Crested Grebe	https://martinfrancois.github.io/bird-images/g5cM0oWZy4uGhh9eGvl6.jpg	The great crested grebe (Podiceps cristatus ) is a member of the grebe family of water birds noted for its elaborate mating display.	915,000-1,4M	15	0	0.9-1.5 kg	46-51 cm	59-73 cm	Europe, Asia, Africa, Oceania	Carnivore,  Piscivores,  Insectivores,  Molluscivore	Partial Migrant	11-16 weeks	-	Least concern (LC)	-
Great Egret	https://martinfrancois.github.io/bird-images/oasi-wwf-padule-orti-bottagone-piombino-airone-bianco-maggiorejpg.jpg	The Great egret (Ardea alba) is a large, widely distributed wading bird. Like all egrets, it is a member of the heron family, Ardeidae, and its close relatieves are pelicans. The Great egret is sometimes confused with the Great white heron of the Caribbean, which is a white morph of the closely related Great blue heron.	Unknown	22	51	700-1,500 g	80-104 cm	-	Asia, Europe, Africa, North America, South America, Oceania	Carnivore,  Piscivores	Partial Migrant	6-7 weeks	-	Least concern (LC)	23-24 days
Great grey shrike	https://martinfrancois.github.io/bird-images/alcaudc3b3n-real-28lanius-meridionalis29-28525209468429.jpg	The great grey shrike (Lanius excubitor ) is a large songbird species in the shrike family (Laniidae). It forms a superspecies with its parapatric southern relatives, the Iberian grey shrike (L. meridionalis ), the Chinese grey shrike (L. sphenocerus ) and the American loggerhead shrike (L. ludovicianus ). Males and females are similar in plumage, pearly grey above with a black eye-mask and white underparts.	Unknown	0	0	48-81 g	22-26 cm	30-36 cm	North America, Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	-	Decreasing	Least concern (LC)	-
Great reed warbler	https://martinfrancois.github.io/bird-images/20170710-15-scharmuetzelsee-wendisch-rietz-drosselrohrsaenger.jpg	The great reed warbler (Acrocephalus arundinaceus ) is a Eurasian passerine in the genus Acrocephalus.	Unknown	0	0	21-51 g	19-20 cm	26 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	-	Decreasing	Least concern (LC)	-
Great Snipe	https://martinfrancois.github.io/bird-images/XZRdCj6MGXdFMzdjzk5x.jpg	The great snipe (Gallinago media ) is a small stocky wader in the genus Gallinago. This bird's breeding habitat is marshes and wet meadows with short vegetation in north-eastern Europe, including north-western Russia. Great snipes are migratory, wintering in Africa. The European breeding population is in steep decline.	0.45-1 M	0	97	140-260 g	26-30 cm	42-50 cm	Europe, Asia, Africa	Carnivore, Insectivores	Migrating	21-28 days	Decreasing	Near Threatened (NT)	22-24 days"
Great Spotted Woodpecker	https://martinfrancois.github.io/bird-images/great-spotted-woodpecker-7.jpg	The Great spotted woodpecker (Dendrocopos major) is a medium-sized woodpecker found across the Palearctic including parts of North Africa. These birds chisel into trees to find food or excavate nest holes, and also drum for contact and territorial advertisement; like other woodpeckers, they have anatomical adaptations to manage the physical stresses from the hammering action.	73.7-110.3 M	11	0	70-98 g	20-24 cm	34-39 cm	Europe, Asia, Africa	Omnivore	Not a migrant	30-33 days	Increasing	Least concern (LC)	10-12 days
